key,reason,record_type,source
BTC/USDT/520971324,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520971325,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520971326,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520971327,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/520971328,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/521163745,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/521799991,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522245905,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522561263,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522868809,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522901371,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522915094,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/522947770,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523159882,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523197052,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523375938,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523375957,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523816732,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523837085,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523853316,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523872739,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523872740,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523893244,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523899557,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523915868,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523926007,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523938440,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523943313,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523949839,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/523969611,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524014524,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524290010,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524311879,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524311888,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524342183,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524359786,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524384482,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524392267,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524394810,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524407722,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524409763,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
BTC/USDT/524595816,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
