commission,exchange_event_time,order_id,position_side,price,quantity,realized_pnl,side,strategy,symbol,trade_id,v2_matched
1.03105601,2026-08-11T12:30:28.959000+00:00,28537724495,BOTH,64280.30,0.0401,0,BUY,testnet_sampling_v2,BTC/USDT,526697171,True
0.19944988,2026-08-11T12:30:56.087000+00:00,16758182052,BOTH,1888.73,0.264,0,BUY,testnet_sampling_v2,ETH/USDT,312946500,True
0.83255659,2026-08-11T12:30:56.087000+00:00,16758182052,BOTH,1888.74,1.102,0,BUY,testnet_sampling_v2,ETH/USDT,312946501,True
1.02812263,2026-08-11T14:24:54.319000+00:00,16758249908,BOTH,1881.63,1.366,-9.70962000,SELL,exit:b301a4f5-9f76-4db9-b2ea-32c24f17a1ac:HARD_STOP,ETH/USDT,312977817,True
1.02740851,2026-08-11T14:26:49.307000+00:00,28537801196,BOTH,64052.90,0.0401,-9.11874000,SELL,exit:9baa36a2-2eb4-4aca-a9b7-531fe623c9c6:HARD_STOP,BTC/USDT,526720500,True
1.02777734,2026-08-12T01:30:35.399000+00:00,28538400666,BOTH,63757.90,0.0403,0,BUY,testnet_sampling_v2,BTC/USDT,526838883,True
1.02851056,2026-08-12T02:00:49.900000+00:00,16758624023,BOTH,1885.10,1.364,0,BUY,testnet_sampling_v2,ETH/USDT,313138238,True
1.03295174,2026-08-12T09:19:59.091000+00:00,16758847570,BOTH,1893.24,1.364,11.10296000,SELL,exit:1aa5140c-af52-4813-a5c1-0e87098d7a18:TAKE_PROFIT,ETH/USDT,313225940,True
1.03200820,2026-08-12T09:30:52.415000+00:00,16758854621,BOTH,1902.67,1.356,0,BUY,testnet_sampling_v2,ETH/USDT,313229250,True
1.03285192,2026-08-12T10:01:33.887000+00:00,28538724722,BOTH,64072.70,0.0403,12.68644000,SELL,exit:e521413f-3477-4009-a5a3-770527f7e75c:TAKE_PROFIT,BTC/USDT,526926801,True
1.03714473,2026-08-12T10:15:50.625000+00:00,16758881876,BOTH,1912.14,1.356,12.84132000,SELL,exit:d8645b35-47f9-4a52-9e8e-da5b1ed75f5d:TAKE_PROFIT,ETH/USDT,313240444,True
1.03308814,2026-08-12T14:47:04.163000+00:00,16759060252,BOTH,1893.49,1.364,0,SELL,testnet_sampling_v2,ETH/USDT,313315568,True
7.38124000,2026-08-12T16:45:37.163000+00:00,28539084650,BOTH,63500,0.2906,0,SELL,testnet_sampling_v2,BTC/USDT,527012268,True
1.02887065,2026-08-12T19:15:14.347000+00:00,16759217938,BOTH,1885.76,1.364,10.54372000,BUY,exit:9ead2ee8-b88e-4dae-a654-c67082f53773:TAKE_PROFIT,ETH/USDT,313373887,True
7.34861765,2026-08-13T04:00:51.475000+00:00,16759514064,BOTH,1887.94,9.731,0,BUY,testnet_sampling_v2,ETH/USDT,313489509,True
0.02549008,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.20,0.0010,-0.22520000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129464,True
0.02294107,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.20,0.0009,-0.20268000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129465,True
0.04333320,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.30,0.0017,-0.38301000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129466,True
0.54804016,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.60,0.0215,-4.85040000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129467,True
0.03313746,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.90,0.0013,-0.29367000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129468,True
0.02039228,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63725.90,0.0008,-0.18072000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129469,True
6.71421350,2026-08-13T04:47:33.131000+00:00,28539555532,BOTH,63726.40,0.2634,-59.63376000,BUY,exit:84cbe222-2444-4e5c-913f-ea4733b59487:HARD_STOP,BTC/USDT,527129470,True
7.38115812,2026-08-13T05:25:27.127000+00:00,16759558378,BOTH,1896.30,9.731,81.35116000,SELL,exit:604306a3-a382-4d8d-a117-6c99bb67afdb:TAKE_PROFIT,ETH/USDT,313505962,True
4.85461540,2026-08-13T06:45:40.844000+00:00,16759600476,BOTH,1891.90,6.415,0,BUY,testnet_sampling_v2,ETH/USDT,313521933,True
2.52173756,2026-08-13T06:45:40.844000+00:00,16759600476,BOTH,1892.06,3.332,0,BUY,testnet_sampling_v2,ETH/USDT,313521934,True
1.21829997,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.20,0.0477,0,BUY,testnet_sampling_v2,BTC/USDT,527152261,True
0.02554092,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.30,0.0010,0,BUY,testnet_sampling_v2,BTC/USDT,527152262,True
0.02298704,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.90,0.0009,0,BUY,testnet_sampling_v2,BTC/USDT,527152263,True
0.02554116,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.90,0.0010,0,BUY,testnet_sampling_v2,BTC/USDT,527152264,True
0.02554116,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.90,0.0010,0,BUY,testnet_sampling_v2,BTC/USDT,527152265,True
0.02809527,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.90,0.0011,0,BUY,testnet_sampling_v2,BTC/USDT,527152266,True
0.02298704,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63852.90,0.0009,0,BUY,testnet_sampling_v2,BTC/USDT,527152267,True
6.04562097,2026-08-13T07:15:40.715000+00:00,28539654203,BOTH,63853.20,0.2367,0,BUY,testnet_sampling_v2,BTC/USDT,527152268,True
7.38851819,2026-08-13T10:44:49.587000+00:00,28539758912,BOTH,63628.30,0.2903,-65.23840000,SELL,exit:96fbb96f-7e73-402e-af5a-c56447ec4a5d:HARD_STOP,BTC/USDT,527168898,True
7.34982282,2026-08-13T10:45:14.853000+00:00,16759678640,BOTH,1885.15,9.747,-66.32537000,SELL,exit:32ab03ec-b435-4587-bd9e-46ad79940846:HARD_STOP,ETH/USDT,313541549,True
7.20995100,2026-08-13T11:00:37.543000+00:00,28539770716,BOTH,63624.70,0.2833,0,SELL,testnet_sampling_v2,BTC/USDT,527171197,True
7.22920941,2026-08-13T12:46:03.939000+00:00,16759748461,BOTH,1886.34,9.581,0,SELL,testnet_sampling_v2,ETH/USDT,313570755,True
0.08027634,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.31,0.106,-0.73882000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575167,True
0.00908798,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.33,0.012,-0.08387999,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575168,True
0.00833065,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.33,0.011,-0.07689000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575169,True
0.01363212,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.35,0.018,-0.12618000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575170,True
0.01438946,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.35,0.019,-0.13319000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575171,True
0.01211744,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.35,0.016,-0.11216000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575172,True
7.11823866,2026-08-13T13:07:00.907000+00:00,16759760401,BOTH,1893.35,9.399,-65.88699000,BUY,exit:0de86400-9277-4016-b7f7-19878c0f39b7:HARD_STOP,ETH/USDT,313575173,True
0.00832475,2026-08-13T14:16:18.087000+00:00,16759803060,BOTH,1891.99,0.011,0,BUY,testnet_sampling_v2,ETH/USDT,313593897,True
0.01210873,2026-08-13T14:16:18.087000+00:00,16759803060,BOTH,1891.99,0.016,0,BUY,testnet_sampling_v2,ETH/USDT,313593898,True
7.04595696,2026-08-13T14:16:18.087000+00:00,16759803060,BOTH,1892.04,9.310,0,BUY,testnet_sampling_v2,ETH/USDT,313593899,True
7.23870028,2026-08-13T14:35:24.615000+00:00,28539947990,BOTH,63878.40,0.2833,-71.87321000,BUY,exit:e74589b4-5ba6-416a-8f18-273bab5c1659:HARD_STOP,BTC/USDT,527217557,True
7.04140518,2026-08-13T15:30:19.655000+00:00,16759876208,BOTH,1885.35,9.337,-62.46318000,SELL,exit:9fb9de39-baa6-4fab-b974-d46b9aa481d7:HARD_STOP,ETH/USDT,313640930,True
0.09439700,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.94,0.125,0,SELL,testnet_sampling_v2,ETH/USDT,313839943,True
0.01963426,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.91,0.026,0,SELL,testnet_sampling_v2,ETH/USDT,313839944,True
0.02416473,2026-08-14T01:45:49.303000+00:00,16760306855,BOTH,1887.87,0.032,0,SELL,testnet_sampling_v2,ETH/USDT,313839945,True
