active_decision,active_entry_strategy,active_strategy_id,active_terminal_reason,bar_timestamp,candidate,candidate_id,candidate_key,candidate_type,commission,created_at,created_candidate,cycle_id,decision_terminal,direction,entry_authority,entry_authority_reason,entry_authorized,entry_price,entry_quantity,entry_time,episode_id,execution_policy,exit_price,exit_quantity,exit_reason,exit_time,funding,funnel_id,giveback_pct,holding_seconds,is_stop_order,is_tp_order,lane,local_order_id,mae_pct,market_snapshot_reference,mfe_pct,net_pnl,promotion_eligible,r2_cost_gate,realized_pnl,reason_code,regime,research_shadow,score_bucket,stages,status,strategy,strategy_id,strategy_trace,strategy_version,symbol,terminal_outcome,terminal_stage,trading_state,v2_cycle_id,v2_intent_id
,,,,,,,,,0.09485008,,,,,long,,,,1824.09,0.065,2026-07-11T17:38:32.649000+00:00,ETH-USDT-0011,,1823.99,0.065,UNKNOWN,2026-07-11T17:38:33.555000+00:00,-0.04742374,,,0,,,,,,,,-0.14877382,,,-0.00650000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09198150,,,,,long,,,,63876.20,0.0018,2026-07-12T08:05:45.540000+00:00,BTC-USDT-0012,,63875.90,0.0018,UNKNOWN,2026-07-12T08:05:46.409000+00:00,-0.04599064,,,0,,,,,,,,-0.13851214,,,-0.00054000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09509068,,,,,long,,,,1801.28,0.066,2026-07-12T08:05:47.704000+00:00,ETH-USDT-0013,,1800.64,0.066,UNKNOWN,2026-07-12T08:05:48.566000+00:00,-0.04753689,,,0,,,,,,,,-0.18486756,,,-0.04223999,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09207917,,,,,long,,,,63960,0.0018,2026-07-12T08:08:55.102000+00:00,BTC-USDT-0014,,63922.30,0.0018,UNKNOWN,2026-07-12T08:08:56.788000+00:00,-0.04602797,,,1,,,,,,,,-0.19616714,,,-0.05806000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09524460,,,,,long,,,,1804.70,0.066,2026-07-12T08:08:58.072000+00:00,ETH-USDT-0015,,1803.05,0.066,UNKNOWN,2026-07-12T08:08:58.932000+00:00,0,,,0,,,,,,,,-0.20414460,,,-0.10890000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.35220065,,,,,long,,,,63965.33333333333333333333333,0.0069,2026-07-12T11:50:49.148000+00:00,BTC-USDT-0016,,63006,0.0069,STOP,2026-07-13T03:19:02.123000+00:00,-0.32276883,,,55692,,,,,,,,-2.89492947,,,-2.21995999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.23973773,,,,,long,,,,1804.27,0.165,2026-07-12T11:50:50.466000+00:00,ETH-USDT-0017,,1876.10,0.165,UNKNOWN,2026-07-14T14:56:31.899000+00:00,-0.25256237,,,183941,,,,,,,,3.44294990,,,3.93525000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,19.84614900,,,,,short,,,,1881,17.345,2026-07-14T22:22:09.415000+00:00,ETH-USDT-0018,,1920,17.345,UNKNOWN,2026-07-15T12:54:58.803000+00:00,-8.96670869,,,52369,,,,,,,,-705.26785769,,,-676.45500000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,31.22048648,,,,,short,,,,64945.80,0.6027,2026-07-14T22:28:48.084000+00:00,BTC-USDT-0019,,64556.80,0.6027,UNKNOWN,2026-07-16T01:03:56.493000+00:00,-5.44489827,,0.1276448977455047131608202532,95708,,,,,0E+2,,0.7266058775163290004896390529,197.78570525,,,234.45109000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.07750746,,,,,long,,,,64614,0.0015,2026-07-16T01:09:38.498000+00:00,BTC-USDT-0020,,64565.10,0.0015,UNKNOWN,2026-07-16T01:13:24.405000+00:00,-0.03873906,,0.07970408889714303401739561086,225,,,,,-0.08419228031076856408827808215,,0.004023895750147026960101525985,-0.18959652,,,-0.07335000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.07744530,,,,,long,,,,64602.40,0.0015,2026-07-16T01:14:55.906000+00:00,BTC-USDT-0021,,64473.10,0.0015,UNKNOWN,2026-07-16T01:20:29.011000+00:00,-0.03868386,,0.2221279704778769828984681684,333,,,,,-0.2001473629462682500959716667,,0.02198060753160873280249650168,-0.31007916,,,-0.19395000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.05803545,,,,,long,,,,64505.30,0.0015,2026-07-16T01:21:59.109000+00:00,BTC-USDT-0022,,64473.10,0.0015,UNKNOWN,2026-07-16T01:23:33.252000+00:00,-0.03868386,,0.1142541775637040677277681059,94,,,,,-0.04991837879988156011986611953,,0.06433579876382250760790198635,-0.14501931,,,-0.04830000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09205899,,,,,long,,,,1922.01,0.061,2026-07-16T05:36:54.794000+00:00,ETH-USDT-0023,,1850.90,0.061,STOP,2026-07-17T00:36:56.912000+00:00,-0.07965197,,3.934422817779303957835807306,68402,,,,,-3.708617541011753320742347855,,0.2346501839220399477630189229,-4.50942096,,,-4.33771000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.07764336,,,,,long,,,,64672.80,0.0015,2026-07-16T15:46:56.180000+00:00,BTC-USDT-0024,,64732.80,0.0015,UNKNOWN,2026-07-16T15:50:10.420000+00:00,-0.03883968,,0.00015462450984030380623693423,194,,,,,-0.04499573236352840761494786062,,0.09292933041402258754839747158,-0.02648304,,,0.09000000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09581684,,,,,long,,,,63040.30,0.0019,2026-07-17T11:22:10.138000+00:00,BTC-USDT-0025,,63034.50,0.0019,UNKNOWN,2026-07-17T11:22:11.036000+00:00,-0.04790622,,,0,,,,,,,,-0.15474306,,,-0.01102000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09541402,,,,,long,,,,1834.95,0.065,2026-07-17T11:22:12.845000+00:00,ETH-USDT-0026,,1834.82,0.065,UNKNOWN,2026-07-17T11:22:13.750000+00:00,-0.04770532,,,0,,,,,,,,-0.15156934,,,-0.00845000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09096170,,,,,long,,,,63168,0.0018,2026-07-17T11:43:51.137000+00:00,BTC-USDT-0027,,63167.70,0.0018,UNKNOWN,2026-07-17T11:43:52.441000+00:00,-0.04548074,,,1,,,,,,,,-0.13698243,,,-0.00053999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09566102,,,,,long,,,,1839.64,0.065,2026-07-17T11:43:54.630000+00:00,ETH-USDT-0028,,1839.63,0.065,UNKNOWN,2026-07-17T11:43:55.941000+00:00,-0.04783038,,,1,,,,,,,,-0.14414139,,,-0.00064999,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,1.33768241,,,,,long,,,,63300.80,0.0261,2026-07-17T11:49:21.127000+00:00,BTC-USDT-0029,,64829.70,0.0261,UNKNOWN,2026-07-20T04:00:53.151000+00:00,-1.80645829,,0.161451356065010236837449132,231092,,,,,-1.208831483962287996360235574,,2.576744685691176098880266916,36.76014930,,,39.90429000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.67153899,,,,,short,,,,1843.69,0.451,2026-07-18T06:17:13.120000+00:00,ETH-USDT-0030,,1878.81,0.451,UNKNOWN,2026-07-20T04:00:54.103000+00:00,0.16304156,,2.243327240479690186528103965,164620,,,,,-2.364822719654605709202740157,,0.3384516919872646703079151050,-16.34761743,,,-15.83912000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09335865,,,,,long,,,,64835.10,0.0018,2026-07-20T04:01:09.809000+00:00,BTC-USDT-0031,,64829.70,0.0018,UNKNOWN,2026-07-20T04:01:11.107000+00:00,-0.04667738,,,1,,,,,,,,-0.14975602,,,-0.00971999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09468169,,,,,long,,,,1878.81,0.063,2026-07-20T04:01:13.702000+00:00,ETH-USDT-0032,,1878.40,0.063,UNKNOWN,2026-07-20T04:01:15.012000+00:00,-0.04733568,,,1,,,,,,,,-0.16784736,,,-0.02582999,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09333562,,,,,long,,,,64833.21111111111111111111111,0.0018,2026-07-20T04:35:29.768000+00:00,BTC-USDT-0033,,64799.60,0.0018,UNKNOWN,2026-07-20T04:35:30.614000+00:00,-0.04665571,,,0,,,,,,,,-0.20049132,,,-0.06049999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09600204,,,,,long,,,,1875.19,0.064,2026-07-20T04:35:33.127000+00:00,ETH-USDT-0034,,1874.89,0.064,UNKNOWN,2026-07-20T04:35:33.966000+00:00,0,,,0,,,,,,,,-0.11520204,,,-0.01920000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.09412480,,,,,long,,,,65368.10,0.0018,2026-07-21T03:03:03.217000+00:00,BTC-USDT-0035,,65360.80,0.0018,UNKNOWN,2026-07-21T03:03:04.650000+00:00,-0.04705977,,,1,,,,,,,,-0.15432456,,,-0.01313999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09520769,,,,,long,,,,1920.23,0.062,2026-07-21T03:03:07.260000+00:00,ETH-USDT-0036,,1918.79,0.062,UNKNOWN,2026-07-21T03:03:08.560000+00:00,-0.04758599,,,1,,,,,,,,-0.23207368,,,-0.08928000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,1.33758025,,,,,long,,,,65434.50,0.0254,2026-07-21T03:18:17.861000+00:00,BTC-USDT-0037,,66217.10,0.0254,UNKNOWN,2026-07-21T08:51:31.460000+00:00,-0.68688647,,0.279821806539363791272188219,19993,,,,,-0.008252527336496802145657107489,,1.475826972010178117048346056,17.85357328,,,19.87804000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09536875,,,,,long,,,,66239.50,0.0018,2026-07-21T08:51:45.892000+00:00,BTC-USDT-0038,,66217.10,0.0018,UNKNOWN,2026-07-21T08:51:46.797000+00:00,-0.04767631,,,0,,,,,,,,-0.18336505,,,-0.04031999,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.09465662,,,,,long,,,,1940,0.061,2026-07-21T08:51:48.613000+00:00,ETH-USDT-0039,,1939.37,0.061,UNKNOWN,2026-07-21T08:51:49.489000+00:00,-0.04732062,,,0,,,,,,,,-0.18040723,,,-0.03842999,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,17.21063410,,,,,short,,,,66350.03040759610930986567855,0.4318,2026-07-21T12:14:03.040000+00:00,BTC-USDT-0040,,66369.80,0.4318,UNKNOWN,2026-07-22T02:42:03.653000+00:00,-6.14380644,,0.3724188195273391455419618490,52080,,,,,-0.8255754956536976553502848162,,0.3426229139603880253845376408,-31.89095054,,,-8.53651000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,17.12373228,,,,,short,,,,1940,14.768,2026-07-21T12:20:18.423000+00:00,ETH-USDT-0041,,1928.79,14.768,UNKNOWN,2026-07-22T02:42:04.503000+00:00,-7.82658597,,0.7046391752577319587628865984,51706,,,,,-0.2046391752577319587628865979,,1.282474226804123711340206186,140.59896175,,,165.54928000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,17.60090198,,,,,short,,,,1944,15.144,2026-07-22T15:19:55.360000+00:00,ETH-USDT-0042,,1933.59,15.144,UNKNOWN,2026-07-23T01:29:28.611000+00:00,-9.36123263,,0.3076131687242798353909465020,36573,,,,,0,,0.8431069958847736625514403292,130.68690539,,,157.64904000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,15.73824908,,,,,long,,,,64910,0.4044,2026-07-23T14:50:33.074000+00:00,BTC-USDT-0043,,64833.40,0.4044,UNKNOWN,2026-07-24T13:53:22.722000+00:00,-22.90135775,,1.361115390540748729009397628,82969,,,,,-0.3247573563395470651671545216,,1.243105838853797565860422123,-67.42283683,,,-28.78323000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,16.31639033,,,,,long,,,,1889.279034449872231509261572,21.204,2026-07-23T14:51:27.918000+00:00,ETH-USDT-0044,,1893.95,21.204,UNKNOWN,2026-07-26T14:09:59.944000+00:00,-40.47681864,,0.6150494335731385345114377766,256712,,,,,-2.141506559493116576984820136,,0.8622847791708775567091638414,18.54418085,,,75.33738982,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,1.21772112,,,,,short,,,,64033.10,0.0235,2026-07-25T03:01:34.439000+00:00,BTC-USDT-0045,,65511.70,0.0235,UNKNOWN,2026-07-27T06:35:46.891000+00:00,0.12778725,,2.700946854048921573373770752,185652,,,,,-2.424683484010613260954100301,,0.3918286011453451418094704145,-35.83703387,,,-34.74710000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,10.89806957,,,,,short,,,,1969,11.156,2026-07-27T10:43:51.816000+00:00,ETH-USDT-0046,,1875.58,11.156,UNKNOWN,2026-07-28T02:10:14.779000+00:00,-2.60970681,,0.247333671914677501269680041,55582,,,,,-0.2772981208735398679532757745,,4.991874047739969527679024886,876.16428362,,,889.67206000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,1.65590956,,,,,short,,,,63357.10,0.0324,2026-07-28T10:30:59.386000+00:00,BTC-USDT-0047,,64413.70,0.0324,UNKNOWN,2026-07-29T08:10:12.971000+00:00,-0.66037715,,2.330914767247869615244384607,77953,,,,,-1.152672707557637581265556662,,0.6632248003775425327232464870,-36.55012671,,,-34.23384000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,11.36728990,,,,,long,,,,1869,9.964,2026-07-28T13:43:18.265000+00:00,ETH-USDT-0048,,1917.59,9.964,UNKNOWN,2026-07-29T08:10:17.025000+00:00,-10.00943944,,0.490636704119850187265917603,66418,,,,,-0.2589620117710005350454788657,,3.090422685928303905831995720,462.77403066,,,484.15076000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25177345,,,,,long,,,,1919.51,0.164,2026-07-29T09:30:41.894000+00:00,ETH-USDT-0049,,1918.50,0.164,UNKNOWN,2026-07-29T09:50:39.740000+00:00,-0.12585360,,0.2511057509468562289334257180,1197,,,,,-0.05261759511542008116654771270,,0.1984881558314361477668780053,-0.54326705,,,-0.16564000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25101446,,,,,long,,,,1917.09,0.164,2026-07-30T02:00:48.240000+00:00,ETH-USDT-0050,,1909.35,0.164,STOP,2026-07-30T03:11:15.368000+00:00,-0.12525336,,0.4037369137599173747711375053,4227,,,,,-0.4532911861206307476435639433,,0E+2,-1.64562782,,,-1.26936000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25106600,,,,,long,,,,64159.90,0.0049,2026-07-30T03:00:14.242000+00:00,BTC-USDT-0051,,63935,0.0049,STOP,2026-07-30T05:21:44.107000+00:00,-0.12531260,,0.5087289724578747784831335461,8489,,,,,-0.3456987931714357410158058226,,0.1581985009328256434314891389,-1.47838860,,,-1.10201000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.25053098,,,,,long,,,,1913.23,0.164,2026-07-30T03:30:45.142000+00:00,ETH-USDT-0052,,1905.84,0.164,STOP,2026-07-30T04:18:10.614000+00:00,-0.12502310,,0.3862577944104995217511747150,2845,,,,,-0.4108235810644825765851465846,,0E+2,-1.58751408,,,-1.21196000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25117282,,,,,short,,,,63959.40,0.0049,2026-07-30T06:15:43.780000+00:00,BTC-USDT-0053,,64190,0.0049,STOP,2026-07-30T08:28:06.708000+00:00,-0.09446250,,,7942,,,,,,,,-1.47557532,,,-1.12994000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.25185203,,,,,short,,,,1904.27,0.165,2026-07-30T06:30:45.940000+00:00,ETH-USDT-0054,,1911.67,0.165,STOP,2026-07-30T08:27:21.302000+00:00,-0.09476841,,,6995,,,,,,,,-1.56762044,,,-1.22100000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25249149,,,,,long,,,,1919.675853658536585365853659,0.164,2026-07-30T09:30:53.836000+00:00,ETH-USDT-0055,,1929.28,0.164,TAKE_PROFIT,2026-07-30T13:46:56.002000+00:00,-0.12656076,,0.0291715915961930056535205194,15362,,,,,-0.1013636575585486929894541634,,0.5294720107091250542679270686,1.19602775,,,1.57508000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25252981,,,,,long,,,,1920.01,0.164,2026-07-30T18:00:29.761000+00:00,ETH-USDT-0056,,1929.53,0.164,TAKE_PROFIT,2026-07-30T22:28:20.703000+00:00,-0.12657716,,0.0645829969635574814714506695,16070,,,,,-0.2447903917167098088030791506,,0.5604137478450633069619429065,1.18217303,,,1.56128000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.25149138,,,,,long,,,,1931.99,0.163,2026-07-30T22:30:35.951000+00:00,ETH-USDT-0057,,1925.24,0.163,STOP,2026-07-30T22:58:01.046000+00:00,-0.12552564,,0.3493806903762441834585065140,1645,,,,,-0.3618031149229550877592534123,,0E+2,-1.47726702,,,-1.10025000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.24984960,,,,,long,,,,64900,0.0048,2026-07-30T22:45:23.779000+00:00,BTC-USDT-0058,,65230,0.0048,TAKE_PROFIT,2026-07-31T01:12:22.243000+00:00,-0.15632628,,0.0673343605546995377503852080,8818,,,,,-0.3425269645608628659476117103,,0.5758089368258859784283513097,1.17782412,,,1.58400000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,5.16869868,,,,,long,,,,1927.90,0.163,2026-07-30T23:15:29.239000+00:00,ETH-USDT-0059,,1931,0.163,REVERSAL,2026-07-30T23:34:46.373000+00:00,-5.04299960,,0.0663934851392707090616733233,1157,,,,,-0.1141138025831215311997510244,,0.2271902069609419575704134032,-9.70639828,,,0.50530000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,11.32280399,,,,,short,,,,1877.429986791899031405928970,18.097,2026-07-30T23:34:46.373000+00:00,ETH-USDT-0060,,1895.83,18.097,UNKNOWN,2026-08-07T05:21:30.856000+00:00,-34.56328938,,3.959668297779250719978565331,625604,,,,,-3.016358192129911857435351946,,2.979604415900895965378571908,518.59621663,,,564.48231000,,,,,,CLOSED,,,,,ETH/USDT,,,,,
,,,,,,,,,0.04012040,,,,,long,,,,62740,0.0008,2026-07-31T15:41:59.121000+00:00,BTC-USDT-0061,,62636.30,0.0008,UNKNOWN,2026-07-31T15:42:00.924000+00:00,-0.02004361,,0.1652853044309850175326745298,1,,,,,-0.2009882052916799489958559133,,0,-0.14312401,,,-0.08296000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,0.37826432,,,,,short,,,,63069.00718840579710144927537,0.0090,2026-08-02T09:15:51.790000+00:00,BTC-USDT-0062,,62645.10,0.0090,UNKNOWN,2026-08-03T10:50:01.447000+00:00,-1.43826201,,0.5076978602873322541111981937,92049,,,,,-0.3251879500521229851885246670,,1.179830191686589618191704331,-0.00169635,,,1.81482998,,,,,,CLOSED,,,,,BTC/USDT,,,,,
,,,,,,,,,37.06380992,,,,,short,,,,64461.23530179031607584060843,0.9588,2026-08-04T04:46:01.583000+00:00,BTC-USDT-0063,,64189.80,0.9588,UNKNOWN,2026-08-07T05:21:29.624000+00:00,-11.56549998,,1.160697582814116260944483510,261328,,,,,-0.7617984605951932848762045704,,1.581780580245872520267916304,209.31630010,,,257.94561000,,,,,,CLOSED,,,,,BTC/USDT,,,,,
